booking_id,property_id,check_in_date,month,week_no,booking_platform,ratings_given,booking_status,revenue_generated
Jun012218561RT217,18561,01-Jun-22,Jun-22,W 23,direct offline,3,Checked Out,10800
Jun012216558RT11,16558,01-Jun-22,Jun-22,W 23,journey,3,Checked Out,10920
Jun012218561RT216,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,10800
Jun012218561RT312,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,14400
Jun012217560RT37,17560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,24480
Jun012217560RT39,17560,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,22440
Jun012218561RT223,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9900
Jun012217564RT36,17564,01-Jun-22,Jun-22,W 23,journey,2,Checked Out,20400
Jun012217564RT34,17564,01-Jun-22,Jun-22,W 23,tripster,2,Checked Out,20400
Jun012217560RT31,17560,01-Jun-22,Jun-22,W 23,direct offline,3,Checked Out,20400
Jun012218561RT29,18561,01-Jun-22,Jun-22,W 23,direct online,5,Checked Out,9000
Jun012217560RT310,17560,01-Jun-22,Jun-22,W 23,journey,5,Checked Out,20400
Jun012219560RT22,19560,01-Jun-22,Jun-22,W 23,tripster,5,Checked Out,13500
Jun012219560RT211,19560,01-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,13500
Jun012218561RT16,18561,01-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,6500
Jun012219560RT13,19560,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9750
Jun012217564RT27,17564,01-Jun-22,Jun-22,W 23,others,5,Checked Out,15300
Jun012217560RT45,17560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,32300
Jun012217560RT111,17560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,11050
Jun012219560RT210,19560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,13500
Jun012217560RT24,17560,01-Jun-22,Jun-22,W 23,others,4,Checked Out,15300
Jun012217560RT27,17560,01-Jun-22,Jun-22,W 23,others,4,Checked Out,15300
Jun012217560RT34,17560,01-Jun-22,Jun-22,W 23,others,2,Checked Out,20400
Jun012217564RT29,17564,01-Jun-22,Jun-22,W 23,others,1,Checked Out,15300
Jun012216558RT21,16558,01-Jun-22,Jun-22,W 23,journey,4,Checked Out,12600
Jun012218561RT211,18561,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,9000
Jun012218561RT34,18561,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,12000
Jun012217560RT113,17560,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,11050
Jun012219560RT49,19560,01-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,28500
Jun012216558RT28,16558,01-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,12600
Jun012218561RT213,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9000
Jun012218561RT224,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9000
Jun012218561RT310,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,12000
Jun012216558RT29,16558,01-Jun-22,Jun-22,W 23,others,5,Checked Out,12600
Jun012216558RT16,16558,01-Jun-22,Jun-22,W 23,others,3,Checked Out,9100
